EXPOCODE,Ship_Name,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Station_ID,Latitude,Longitude,Depth,CTDTEMP_ITS90,CTDTEMP_flag,Salinity_PSS78,Salinity_flag,DIC,DIC_flag,TA,TA_flag
,,,,,,,decimal degrees,decimal degres,m,deg_C,,,,umol/kg,,umol/kg,
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,096.7 100.0,29.9241,-121.8439,10,-999,9,-999,9,-999,9,2245.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,096.7 090.0,30.2575,-121.18,10,-999,9,33.577,2,-999,9,2244.3,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,096.7 090.0,30.2575,-121.18,10,-999,9,-999,9,-999,9,2249.4,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,096.7 090.0,30.2575,-121.18,12,16.19,2,33.573,2,1992.6,2,2240.3,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,096.7 090.0,30.2575,-121.18,12,-999,9,-999,9,-999,9,2237,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,096.7 090.0,30.2575,-121.18,12,-999,9,-999,9,-999,9,2236.7,2
32NM19840208,RV NEW HORIZON,1984,2,27,20:32:04,097.0 090.0,30.2055,-121.144,12,16.19,2,33.573,2,1992.6,2,2238,2
32NM19840208,RV NEW HORIZON,1984,2,27,20:32:04,097.0 100.0,29.8722,-121.8076,10,16.7,2,33.653,2,1994.8,2,2252.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,20:32:04,090.0 120.0,30.4179,-123.9989,12,16.31,2,33.592,2,1993.5,2,2249.7,2
32NM19840208,RV NEW HORIZON,1984,2,28,0:00:00,100.0 100.0,29.3526,-121.4453,10,16.55,2,33.578,2,1993.2,2,2245.8,2
32NM19840208,RV NEW HORIZON,1984,2,28,0:00:00,100.0 100.0,29.3526,-121.4453,10,-999,9,-999,9,-999,9,2264.6,2
32NM19840208,RV NEW HORIZON,1984,2,28,0:00:00,100.0 100.0,29.3526,-121.4453,10,-999,9,33.576,2,1992.5,2,2248.6,2
32NM19840208,RV NEW HORIZON,1984,2,28,0:00:00,100.0 090.0,29.6859,-120.7852,10,16.21,2,-999,9,1992.2,2,-999,9
32NM19840208,RV NEW HORIZON,1984,2,28,0:00:00,100.0 090.0,29.6859,-120.7852,10,-999,9,-999,9,1991.8,2,-999,9
32NM19840208,RV NEW HORIZON,1984,2,28,0:00:00,103.0 100.0,28.8329,-121.0853,10,16.34,2,33.539,2,1992.1,2,2246.7,2
32NM19840208,RV NEW HORIZON,1984,2,28,21:57:21,103.0 100.0,28.8329,-121.0853,10,16.34,2,33.539,2,1992.1,2,2246.7,2
32NM19840208,RV NEW HORIZON,1984,2,28,21:57:21,097.0 100.0,29.8722,-121.8076,10,16.55,2,33.577,2,1992.8,2,2245.8,2
32NM19840208,RV NEW HORIZON,1984,2,29,0:00:00,103.0 100.0,28.8329,-121.0853,12,16.35,2,33.539,2,1992.2,2,2246,2
32NM19840208,RV NEW HORIZON,1984,2,29,0:00:00,103.0 090.0,29.1663,-120.4286,13,16.5,2,-999,9,1990.6,2,-999,9
32NM19840208,RV NEW HORIZON,1984,2,29,0:00:00,103.0 090.0,29.1663,-120.4286,13,-999,9,-999,9,1990,2,-999,9
32NM19840208,RV NEW HORIZON,1984,3,2,0:00:00,106.7 100.0,28.1921,-120.6443,11,16.81,2,-999,9,1993,2,-999,9
